Sales date,Location,"# Txns",Payments,Refunds,Fees,Withholdings,Settled date(s),External,Payouts
06/29/2025,Biryani City,31,1317.47,0.0,42.41,0.0,[07/01/2025],0.0,1275.06
06/30/2025,Biryani City,32,1362.43,0.0,41.97,0.0,[07/02/2025],0.0,1320.46
07/01/2025,Biryani City,28,1297.27,0.0,39.19,0.0,[07/03/2025],0.0,1258.08
07/02/2025,Biryani City,34,1180.59,0.0,36.43,0.0,[07/04/2025],0.0,1144.16
07/03/2025,Biryani City,27,1190.86,0.0,38.56,0.0,[07/05/2025],0.0,1152.3
07/04/2025,Biryani City,52,2772.39,0.0,87.21,0.0,[07/06/2025],0.0,2685.18
07/05/2025,Biryani City,49,2491.47,0.0,79.42,0.0,[07/07/2025],0.0,2412.05
07/06/2025,Biryani City,43,1858.94,0.0,54.94,0.0,[07/08/2025],0.0,1804.0
07/07/2025,Biryani City,26,1013.17,0.0,29.89,0.0,[07/09/2025],0.0,983.28
07/08/2025,Biryani City,20,804.83,0.0,26.41,0.0,[07/10/2025],0.0,778.42
07/09/2025,Biryani City,33,1444.97,0.0,44.03,0.0,[07/11/2025],0.0,1400.94
07/10/2025,Biryani City,32,1530.45,0.0,46.15,13.99,[07/12/2025],0.0,1470.31
07/11/2025,Biryani City,46,1735.67,0.0,53.7,0.0,[07/13/2025],0.0,1681.97
07/12/2025,Biryani City,40,1867.83,0.0,56.02,0.0,[07/14/2025],0.0,1811.81
07/13/2025,Biryani City,33,1592.84,0.0,44.88,13.99,[07/15/2025],0.0,1533.97
07/14/2025,Biryani City,23,800.41,0.0,25.33,0.0,[07/16/2025],0.0,775.08
07/15/2025,Biryani City,32,1083.57,0.0,31.72,0.0,[07/17/2025],0.0,1051.85
07/16/2025,Biryani City,38,1304.86,0.0,44.55,0.0,[07/18/2025],0.0,1260.31
07/17/2025,Biryani City,27,873.7,0.0,28.41,0.0,[07/19/2025],0.0,845.29
07/18/2025,Biryani City,52,2297.22,0.0,65.04,0.0,[07/20/2025],0.0,2232.18
07/19/2025,Biryani City,44,2250.55,0.0,62.31,0.0,[07/21/2025],0.0,2188.24
07/20/2025,Biryani City,40,1978.46,0.0,60.69,0.0,[07/22/2025],0.0,1917.77
07/21/2025,Biryani City,25,1092.35,0.0,32.29,16.23,[07/23/2025],0.0,1043.83
07/22/2025,Biryani City,25,888.09,0.0,27.44,0.0,[07/24/2025],0.0,860.65
07/23/2025,Biryani City,32,1605.88,0.0,53.32,0.0,[07/25/2025],0.0,1552.56
07/24/2025,Biryani City,16,696.05,0.0,21.35,0.0,[07/26/2025],0.0,674.7
07/25/2025,Biryani City,43,2034.24,0.0,64.64,13.74,[07/27/2025],0.0,1955.86
